census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Grocery_Store
17031720500,40.5,0.0,5.69,9.0,0.0,0.0,3.0,2.0,176.0,14.0
17031730200,21.4,64.0,9.26,19.0,3.777413222953777,2.0,12.0,3.0,387.0,45.0
17031730300,21.4,0.0,0.0,5.0,1.523678358161246,0.0,5.0,2.0,124.0,23.0
17031740100,18.6,0.0,0.0,20.0,0.0,0.0,3.0,1.0,200.0,32.0
17031710500,18.7,0.0,16.56,18.0,2.75916340272762,0.0,6.0,2.0,266.0,60.0
17031711200,18.7,72.0,9.19,17.0,4.256169089904896,0.0,6.0,3.0,191.0,30.0
17031711300,18.7,0.0,0.96,6.0,1.255023856950929,0.0,2.0,2.0,119.0,33.0
17031720200,40.5,0.0,17.73,14.0,4.456073952182153,0.0,9.0,3.0,329.0,39.0
17031700400,15.3,0.0,14.4,35.0,0.0,1.0,10.0,2.0,651.0,108.0
17031710200,18.7,0.0,6.84,13.0,1.2762648424735916,2.0,7.0,1.0,125.0,27.0
17031681400,24.7,0.0,0.0,12.0,0.9891237874870084,0.0,8.0,1.0,106.0,21.0
17031690800,21.4,0.0,2.97,23.0,2.878499636535385,1.0,7.0,4.0,111.0,10.0
17031691100,21.4,0.0,2.99,21.0,1.4338735572023311,0.0,6.0,2.0,156.0,27.0
17031691300,21.4,0.0,0.0,17.0,0.4986872955468101,0.0,5.0,2.0,230.0,38.0
17031680500,24.7,0.0,1.94,8.0,0.0,0.0,6.0,3.0,43.0,11.0
17031681200,24.7,69.0,3.12,17.0,1.9666580959005973,1.0,11.0,2.0,155.0,47.0
17031670100,25.9,0.0,0.3,9.0,0.0,0.0,5.0,3.0,49.0,5.0
17031670600,25.9,0.0,0.0,7.0,0.935847068265914,0.0,8.0,2.0,61.0,9.0
17031670800,25.9,0.0,0.0,4.0,0.5075864357155586,0.0,5.0,2.0,124.0,19.0
17031671300,25.9,0.0,0.24,8.0,1.6868792118649023,0.0,7.0,1.0,74.0,16.0
17031650500,10.7,89.0,12.75,23.0,0.0,2.0,5.0,2.0,831.0,108.0
17031660200,18.5,146.0,0.0,14.0,1.0040920640012043,2.0,8.0,3.0,336.0,56.0
17031660700,18.5,0.0,0.48,8.0,1.5330472491138245,0.0,11.0,1.0,126.0,13.0
17031640400,8.8,0.0,8.32,15.0,0.0,0.0,5.0,2.0,207.0,12.0
17031640600,8.8,0.0,0.0,21.0,0.0,0.0,3.0,1.0,190.0,19.0
17031640700,8.8,0.0,4.82,20.0,0.0,0.0,2.0,1.0,104.0,17.0
17031650400,10.7,0.0,0.0,13.0,0.2380686363838402,0.0,6.0,3.0,168.0,26.0
17031630200,14.6,0.0,0.0,11.0,0.1067408934491643,0.0,13.0,3.0,145.0,26.0
